txn_id,user_id,name,card_number,merchant,timestamp,location,device_id,amount,is_fraud
25,f2e7ad75-9520-4388-b152-1762598c2442,Sandra Stevenson,4116123973905535,Jones-Gordon,2025-06-29 16:03:03,"East Christina, GU",4bb8b1b0-1c5c-4872-838f-c6bf97936312,641.36,0
26,2584fc4f-17b8-4f4d-b190-354b340b0347,Kevin Smith,3592620216566029,Graves-Sanchez,2025-07-04 19:45:09,"Kingbury, NH",023a6fe5-e1fa-4dcc-b391-641350b7e2d7,687.84,0
27,d77590db-5700-4218-b95a-c6fb7f64168f,Robert Harris,3511756754968355,"Vargas, Rice and Hood",2025-07-10 04:24:24,"East Erica, VI",43c7e4eb-0546-467a-91ed-27d82dfae1cb,197.31,0
28,fae2263f-06d6-4f3a-a9b7-e35128c9fd74,Michael Mcdaniel,4595166453586350874,"Bradley, Hull and Lewis",2025-07-01 16:31:14,"Turnerville, OK",6bba4289-749b-4597-a6f4-2e180cecdbb1,1155.18,0
29,3c321ed1-f0f1-46fd-9f73-2c40ea21b5b2,Jennifer Webb,180052234160102,Nunez-Keith,2025-07-26 03:16:04,"Tokyo, JP",6cdc5cf1-e2c5-4d78-8b1f-aa78678d005c,1412.54,1
30,e639c59b-9029-4982-beea-06af478fd215,Eddie Reed,376512742347321,Herrera PLC,2025-07-15 18:07:22,"Sherylview, AL",6fe738a8-f470-43f3-b096-9ca41e421d79,612.13,0
31,dd85cd41-3c33-4e92-86b1-310b49837f4e,Kristen Hamilton,4315590605046103,Williams-Murphy,2025-07-04 21:23:43,"New Courtney, VI",b253de11-5a28-4778-9c68-5d16a8db0558,285.14,0
32,d24c6323-14ac-4e6b-aeb8-ad18a7f28fe5,Nathan Stewart,30072113287786,Roach Inc,2025-07-09 01:13:23,"West Valeriemouth, OR",661cbafb-b7f0-4caa-aae7-2ffe01cc9a31,574.22,0
33,aa1be3f0-9657-48ba-acd4-0809cab245a3,Jorge Wilson,4355957764617795,Alvarez Inc,2025-07-09 10:17:28,"Port Oscar, MS",dfcb2c3c-b561-42a0-a7f4-d0020da9fccf,676.64,0
34,bd9c1937-56d8-4a9d-ac63-1b881c96fe54,Henry Hudson,4444909090440124534,"Cohen, Gutierrez and Lane",2025-07-05 09:00:06,"New Annton, MN",92e40d0a-674c-4055-aa81-2fa62ef2ad8f,593.43,0
35,554dacde-c5b5-4b07-9766-d83f474ea47a,Steven Lester,675933395096,"Guzman, Frazier and Francis",2025-07-01 20:31:32,"Lake Jacqueline, TN",a5f05277-8ece-4b5d-a9b7-5615fbe95120,1003.29,0
36,c642b0f6-353c-4392-928b-dd0e827acb0e,Daniel Walsh,378676371460149,"Johnson, Wilson and Pope",2025-07-16 09:09:03,"Port Alicia, MS",61762c98-4ab6-4dcb-b9d6-78648de97151,700.73,0
37,a59294d8-e2be-4bbf-8ba1-04d0cbc50d1a,Nancy Gonzalez,375672486951745,"Gill, Mueller and Terrell",2025-07-13 23:36:13,"Jordanview, HI",8714103a-9c70-4726-9f42-f721f4cfba94,851.51,0
38,51fcef10-1239-4817-acb5-201e4dff3e19,Albert Palmer,6011773961254311,"Werner, Henry and Hall",2025-07-04 20:51:21,"North Sarahberg, VI",38cada06-e19f-4034-9580-d8ef1822fd53,125.34,0
39,258188ab-cb98-4c34-a61b-deaf0ea25ee5,Roy Hurley,4101772174598098,Davis Inc,2025-07-24 14:11:01,"East Carlos, ME",665eca76-170b-408c-b01e-2a8c2a4f8b8c,302.76,0
40,f841f069-0041-4ac9-be16-08a177592d6b,Christine Gonzalez,560161543866,"Ramos, Jackson and Silva",2025-07-07 08:13:38,"West Carlos, ME",1caa4db0-9e71-430f-b95e-066a86947b24,53.62,0
41,81bd167f-4bcc-4a26-8ba7-f4c4e87c435c,Adam Flores IV,4145823917890066,Martinez-Todd,2025-06-29 10:30:03,"Matthewbury, DC",b79081ce-4c63-48c7-947f-bb00e6aec1af,381.43,0
42,e47727d5-d0df-403a-b8a8-c2d4937ea54b,Angela Thomas,342199331796778,Roberts PLC,2025-07-18 02:43:40,"London, UK",ebb756d3-dda1-4a37-a754-6f44a6a59b86,68.58,1
43,d72164b1-567c-4a4a-833e-4b4fd7db179d,Anthony Nelson,2266627133639844,"Benton, Smith and Cox",2025-07-12 14:36:38,"New John, CO",ffb669e5-4c3b-4e47-b85f-3386cc010068,90.68,0
44,4e15c378-124d-4ec1-b207-a3b70dc979eb,Roy King,639063750041,Sparks PLC,2025-07-20 11:07:46,"Lake Carl, SD",40937981-5450-430c-8493-702c216734f8,1042.66,0
45,a59294d8-e2be-4bbf-8ba1-04d0cbc50d1a,Sarah Carpenter,4237933110025086,"Glenn, Johnson and Kennedy",2025-07-07 07:49:54,"Wileyhaven, FM",8ace3cb6-e33d-4520-83b3-ac82f690efff,15.35,0
46,e601686a-1cf3-447f-982e-6541dc52ff58,David White,4287246513674,Dalton PLC,2025-07-28 02:37:24,"East Crystalshire, NH",773eeb7a-bb19-475c-a406-0e741a87c811,2817.32,1
47,78f637b9-4ae8-42f4-a2bf-5b1313f2ae0d,Donna King,342347613220443,Dorsey-Green,2025-07-20 10:15:24,"East Frank, PA",2d8a8bcf-53cb-48de-8deb-41f51350f3da,475.6,0
48,6cec452a-b01b-4831-b411-49d793137cb5,Christopher Garza,4752934470870587,"Romero, Rodriguez and Hunt",2025-07-23 14:37:05,"Davidtown, IN",d4fe9a22-91b1-449d-b2eb-8d34f0b374c2,1120.94,0
49,900cc9c1-67cd-4388-8cf4-d41b49d9b797,William Jenkins,4174168728871606,Johnston Ltd,2025-06-29 05:53:20,"Jacquelinefurt, MA",143c4666-d2c4-434e-ae97-a018e463f573,129.04,0
50,6d1e7ed0-b823-4cd7-90d7-3b9a3b1d5c9b,Samantha Soto,6518832969773991,Deleon and Sons,2025-07-04 17:40:45,"Normaburgh, MA",8e97bc0d-81b9-46b1-b26c-157c0d2b002e,534.77,0
51,c85fc73c-718e-4cc2-97e8-39cbfe74fa7c,Jason Chapman,3591846760080304,Zuniga-Sanders,2025-07-17 15:18:30,"Hernandezchester, OH",88463fea-9c4b-42bd-ad6a-ca9d71346a83,670.72,0
52,42c29ce8-f802-4d3a-ac79-5612d651709c,Rachel Bush,4570124076676659,Mcdonald-Thompson,2025-07-25 03:42:21,"London, UK",e21cd21b-c8be-4040-a6e2-294fdb93f9b0,3273.92,1
53,ba17f90a-bc24-4748-bfbc-c8d804c20a39,Gabrielle Wallace,4247583591535,Jones Inc,2025-07-25 00:07:41,"South Jeffrey, NE",01f89b36-3b88-411b-97a0-5782f541ecd2,1011.03,0
54,12f0c81e-ad18-46fb-baf1-244ff63f4a09,Alexandra Taylor,675968317700,"Alexander, Perez and Martin",2025-07-15 12:48:40,"Smithtown, MD",62007e8e-2186-461e-810b-615325ab2a92,1007.42,0
55,15f76feb-0de3-40ee-88f9-af7bc0c1095e,Jill Everett,213105212492128,Anderson-Diaz,2025-07-27 23:40:30,"North Williamfurt, VT",fc23b299-82f6-49d3-ac59-035bf6cbed1f,713.99,0
56,f32290ef-b221-423d-973a-15bfc13ff44f,Kayla Lopez,347509272081862,Bartlett Ltd,2025-07-01 08:08:12,"North Lisa, WV",2370af9b-04f6-4aa4-a6ee-ee470a3a56eb,196.47,0
57,6b4d6ec4-e028-4cd9-828e-1991d071517f,Kristin Dominguez,4436801847429,Robinson-Mack,2025-07-04 01:22:43,"Lake Lauratown, VI",e37fadb8-5575-4f56-8555-803ad6201c53,858.67,0
58,e52140f1-5227-4424-af84-7b92dadd5337,Nancy Valenzuela,348107170532844,Jackson-Garrett,2025-06-28 16:05:37,"Robertville, AK",7cfb1b1b-6115-44af-b54c-837b346c4a5f,346.75,0
59,049d28ea-7c35-4917-ac57-788997b9e6b4,Madison Hicks,2276814587888915,Anderson Inc,2025-07-17 08:08:26,"Timothyfurt, WI",b402ddc6-bf2e-4585-997d-79fbe1416eba,550.27,0
60,0052ca6b-a935-4c05-9603-ccdecd8de013,Eric Rodriguez,564067655378,Moran-Williams,2025-07-04 02:32:05,"Tokyo, JP",0da08b02-66c3-43f2-9485-b4aa887aadf9,1504.48,1
61,c2ec6741-965b-47a5-b3e2-31f38eaa5d9f,Ryan Turner,3546336135796335,Simpson LLC,2025-07-26 12:03:50,"Vancebury, GA",e6e03fdb-8fe6-4c32-9728-7076613a6ed7,822.68,0
62,c87449ed-84d5-4818-a372-54653088b6fc,Cynthia Sanders,4231297144335333,"Mills, Taylor and Barrett",2025-07-27 02:55:32,"Lunaburgh, UT",960e4774-774a-465a-a677-105915a24db9,730.51,0
63,d24c6323-14ac-4e6b-aeb8-ad18a7f28fe5,Mary Anderson,4332259576308798,"Diaz, Martin and Henry",2025-07-22 00:36:07,"Andrewville, FL",937afa0a-9952-4dc9-b20d-deb6b1f48870,5953.26,1
64,bb36913f-ef19-4eb1-a113-6c1021e2f353,Keith Jones,6547365713276438,Prince-Collins,2025-07-08 18:49:31,"Raymondton, MD",cce10a26-7332-47b0-903f-a21cb0c915ab,502.02,0
65,36c47dd1-09fa-4eb3-bf10-df60fc67d898,Jeremy Edwards,3595565502437913,Hill-Novak,2025-07-13 18:08:29,"Lake Catherinemouth, FM",6a1e9e46-5055-4b27-b899-96a12c825f76,1052.38,0
66,586c6294-d6a4-4470-9a7a-6ef53bd60e04,Tina Perez,3583465507206807,Herrera LLC,2025-07-09 12:18:45,"New Miguelberg, PA",7c31f820-2fc3-477a-beac-a7f03f5b92ff,580.79,0
67,f274d4b6-2a94-4ea4-8291-2a964573ea8b,Albert Jones,213119938063139,Levine-Farley,2025-07-27 17:15:53,"Port Nicholas, MD",deac9c3e-51ba-4a1e-a98b-a9ce12ea4827,1097.58,0
68,d9e54df8-19c3-4766-ac8b-28465b6bf9b7,Lisa Martin,5593874099527285,Alexander-Watson,2025-07-10 12:43:26,"Kimberlyside, CO",310b5558-a319-400c-9162-89d4e616dfcb,415.89,0
69,31ef180a-1175-4b9a-b2fe-dfd91966cbb0,David Hoover,6557540509142245,Joseph LLC,2025-07-07 08:58:54,"Port Angelaborough, IN",52ac0af7-a3f0-4e62-bdd5-52bf7dd48ffa,787.29,0
70,74cd8c3a-ab42-4aeb-8b64-4f7bb177305d,Tiffany Ross,502026408927,Holmes-Ramirez,2025-07-11 18:40:41,"West Melissa, SD",c791dbc0-944d-47ad-95f4-8ebc3a23c9ae,1016.11,0
71,626ff59a-9bd8-4a5c-a76e-7d89fc97da61,Hannah Jones,4337737822677921,"Daugherty, Mcfarland and Tucker",2025-07-09 04:16:25,"New Nicholasside, NH",60674bda-12ee-409c-8e92-aff6fbe992f2,1024.69,0
72,57d93f5d-1a66-451f-bbcb-7bc153768dd4,Corey Mcbride,180085135378407,Giles LLC,2025-07-12 03:32:00,"Bishoptown, AR",5b3e3a34-7dcc-40cc-8786-c39471ebce36,146.75,0
73,f871d5d2-4fbc-4a7a-9b3f-1432706edd40,Steven Stafford,3552615627195416,"Miller, Steele and Hall",2025-07-25 02:49:37,"Averyside, VI",d881b2eb-6aaf-4221-9624-6221c44484bc,1025.65,0
74,97ad1f57-1488-4803-bd5e-d9032f724a25,Patrick Torres,180050624913106,"Murphy, Perry and Flynn",2025-07-10 16:01:02,"Medinashire, MH",b976172e-0d6a-4832-91ba-7138ee7da2de,272.22,0
75,f19858bb-e113-4eca-ad37-7b5f4851b665,John Velasquez,4888870086010639,"Shelton, Lopez and Ray",2025-06-30 06:01:41,"Calhounside, VT",93fc3a76-a386-4014-b747-af8813f6c801,449.61,0
76,4ae80443-8f24-4ccb-9f30-372d619c445b,Timothy Reyes,503815282820,Johnson Inc,2025-07-08 03:50:28,"Stoneport, MN",63164fb7-7ba4-4616-b297-2164ac289506,585.85,0
77,26b9b971-c678-4d3c-97ec-7652adc65f78,Chase Morris,30054067616731,"Brown, Singh and Campbell",2025-07-05 03:13:06,"Rodriguezton, VA",b14b872b-e137-411c-a717-3fe2b958fa2a,1195.77,0
78,e0cffb53-672e-4a09-b79e-783e89d0edc0,Ryan Ortiz,180097145134365,Wyatt-Sawyer,2025-07-14 03:40:08,"North Jenniferburgh, AS",4460f97f-f5e9-4780-9d3a-a4cee7fcdd6b,75.79,0
79,51a402b6-db50-4ea8-a301-a68d0c9e3755,Jessica Anthony,3566294816001928,Garcia-Owens,2025-07-12 03:04:16,"London, UK",6c407e07-e2dc-46de-8f28-1eb68bc9dc27,98.8,1
80,19f97761-b76d-4b59-a570-205c7cb6f3dd,Shelley Garcia,4421968504571720262,"Hernandez, Hall and Aguilar",2025-07-01 01:47:25,"Lake Matthew, UT",63a04062-16ca-499c-bb4e-2e97d464d7a6,817.96,0
81,11b4262e-16bb-406c-a6c1-89e9c7c547e2,Ronald Knapp,2648388620496060,Jones-Lee,2025-07-15 03:28:57,"Villaview, PW",22a17e0b-00ae-45de-83f6-b7208fbef204,743.91,0
82,aa1be3f0-9657-48ba-acd4-0809cab245a3,Timothy Campbell,4951639400529119977,Brown-Lee,2025-07-27 04:30:54,"Wendybury, ND",2e58ac8b-ce99-44e6-889a-efc52baee63c,2858.39,1
83,08cbfdbd-6a66-4dbd-8e05-f7e85b97e290,Deanna Martinez,3569559268569227,Carrillo-Merritt,2025-07-24 01:59:41,"London, UK",07518f30-69b6-44a2-be01-aa02cd001e20,3765.0,1
84,a979b84d-cf60-402f-80f4-14221e2759e5,Steven Jimenez,3574112022387347,Gilbert and Sons,2025-07-21 15:30:17,"Lake Robert, SC",a2009487-e6fb-4618-925c-3d5914a1edbb,543.91,0
85,2a75e881-b5a1-4771-8625-0c7264eaa9c1,Derek Green,4072681226629618,"Griffin, Lewis and Martin",2025-07-01 13:00:06,"Millermouth, MO",bebbcb36-fed7-457f-a4da-c13d7dcaeaee,779.63,0
86,2e985e85-213a-45a1-9a80-de66221a4f03,Aaron Williams,4904422737563499,Tucker and Sons,2025-07-07 08:17:03,"Finleyhaven, KY",69c73399-658d-4ed0-9463-1dc5aec7f7b3,950.48,0
87,2185a74f-bcba-40fe-86af-4718d98c87d6,Brandon Anderson DDS,3514646359643684,Knight and Sons,2025-07-11 03:45:16,"Vasquezton, ME",7a413011-ee8b-4e37-abb7-7ecc06e25ce3,5634.08,1
88,cb1072d1-ce9e-4e58-bd86-34cec28d510e,Jodi Solomon,36990470571092,Alexander and Sons,2025-07-17 03:11:41,"London, UK",c8438f1a-1638-48a0-8797-4d40dd923f74,5525.48,1
89,67583026-8ac7-47ec-8bb6-4fb10c60d5e5,Briana Hill,3506893025870537,Robertson-Schultz,2025-07-17 14:12:27,"Aprilside, MT",2ee421a5-44fd-4e4b-ba60-69d40cca6d16,535.87,0
90,8db37178-1ccb-4417-9a5e-8424797b2964,Cesar Scott Jr.,342224006606522,Moreno and Sons,2025-07-03 03:27:38,"North John, MA",7786e33f-d4d0-456d-8171-112a8699799c,726.06,0
91,3ed78f08-85b3-4e3d-b95b-fc417ce11fa9,Bradley Underwood,180058181930199,"Leblanc, Warren and Perez",2025-07-10 03:04:31,"South Dawn, AZ",f8634859-6f27-4a5c-b436-a57fa7bf2894,731.82,0
92,eb0145c1-b78f-4c76-b912-71512d97a52e,Bruce Rush,213103346145118,Jones PLC,2025-06-29 00:21:32,"Webbberg, OR",32597e60-56cf-499b-85e3-d65a4c7d2269,4870.92,1
93,7075a390-a784-47ca-9ae2-9aec4a08aff2,James Lopez,3529104073128551,"Yoder, Elliott and Melendez",2025-07-23 03:10:09,"West James, MT",706b33cf-cd78-490a-a913-1187bc3c78bb,699.32,0
94,c7fb47dc-c3a4-40dd-87d6-9e554e27325e,John Thompson,4812554080986868,Sullivan LLC,2025-07-06 09:24:09,"East Johnside, WY",907b4519-143f-4a73-8488-87b61f390aaa,963.9,0
95,abedcbca-1bd6-456c-bd11-0f3ab391b937,Paul Jackson,6011293286846683,Johnston Ltd,2025-07-20 23:31:28,"South Williamborough, NC",53e8f05f-2ff0-4f46-a854-69c3ed37a53c,391.74,0
96,ba5d35fe-e4fe-4b28-90d0-2cf75939363d,Jesse Barrera,4304169158302,Ingram-Brown,2025-07-10 02:54:38,"Serranomouth, PA",604ddf18-7822-49f7-b352-ed469d5b64c0,317.88,0
97,828ef7b8-f389-4c58-8359-2312a7ee4d58,Kim Washington,341991992885770,Parrish LLC,2025-07-19 18:12:27,"South Brandon, WA",8dd97a70-5d2a-460a-815a-c2ded736472f,1092.04,0
98,f40762d9-4329-4450-aa84-f9e24768fe89,Harold Benjamin,4870545073398968710,Jones Ltd,2025-06-29 03:40:37,"Welchberg, OK",95d05b22-1e4b-46b7-961e-66710d5e47e6,1005.87,0
99,60a56633-fa06-41f7-93a2-f8c0ea97b792,Terry Flores,4406742541886,Ramos-Hartman,2025-07-22 17:49:12,"Dicksonstad, WI",e6f92235-62be-4deb-ab80-6ed153d741ac,413.17,0
100,c3ed783e-0b02-4b8f-82d6-b2d4f225d7b1,Benjamin Warner,567622823860,Robertson-Jones,2025-07-05 06:50:41,"Lake Sherry, VT",e011eef0-c7e9-4740-a311-97744d5fcbe9,450.3,0
101,a59294d8-e2be-4bbf-8ba1-04d0cbc50d1a,Crystal Walker,36541735891575,Tyler Inc,2025-07-25 03:11:49,"Port Juan, WI",25817934-d554-4d1a-b58d-4598abd48efc,697.09,0
102,19f9fefe-390f-4d52-a641-fea32a1f372a,Amanda Harrington,3570379447785769,"Chapman, Rodriguez and Carroll",2025-07-07 02:26:57,"Jessicamouth, NJ",e2cdfffe-68ff-4a04-a886-a595bb288acc,874.41,0
103,0a1d4c46-1180-4d19-8d94-90c0dd9fb545,Mark Maldonado,4077355308382967,Alvarez-Brown,2025-07-20 20:49:23,"South Christinaton, TN",c08039e0-b960-49b7-835f-4bc2bb1ca972,449.06,0
104,a4ba6dac-fe17-45dd-8480-ee714fe86c02,Alex Fuller,4772350343240492,King Group,2025-07-11 04:00:32,"Shannonview, ME",8ef4101b-7581-449a-aae8-4baa95843bbf,487.72,1
105,f7946c4b-c8d8-491e-be10-85cd85733706,Rebekah Kent,6011428463206943,"Jones, Vazquez and Butler",2025-07-12 21:26:55,"West Theresaport, NJ",ec57c5ec-daf3-4a21-b049-633080cd8b22,343.94,0
106,462da66e-6be3-414b-b4b1-ec0f1253139f,John Bush,4920479659145937,Cooper Group,2025-07-06 08:49:13,"Pattyport, OK",29397dd4-dd99-47f8-a7b6-5999e34e670d,905.25,0
107,5adb5790-c1e2-4003-a393-cb5eefe5f918,Amy Delacruz,3519022056926233,Orozco Inc,2025-07-25 07:20:21,"Lake Jasonhaven, WV",471f121a-be34-4c38-b86b-0180b08b66fc,174.63,0
108,25f83b9d-c12e-49b9-a9f5-e0b0f42c773e,Cynthia Edwards,30538782611290,Weber Group,2025-07-26 13:55:02,"Ramirezbury, MA",b3d76803-d709-4c87-a65e-e6584946dd51,1147.56,0
109,30c19908-6a3d-4736-b5e5-080e6e4c4be6,Joseph Hayden,213124035405878,"Molina, Foley and Turner",2025-07-03 06:34:35,"New Cassie, MH",8b7a2934-14ac-44cb-b3ce-739660fa2c84,1048.62,0
110,f7b7fa1e-0e1b-4213-8fe5-5335134a99d0,Maria Roberts,4422702613946,Wilcox Ltd,2025-07-19 11:48:19,"Stevenstad, MI",423fb98e-1a82-487e-bba6-1b178363fde6,1102.24,0
111,8d30fc4e-2f67-4d87-b842-378586b6e16d,Amanda Stevenson,213129935764332,Goodwin-Berg,2025-07-26 14:26:43,"Burtonmouth, NE",eadd9878-bf86-4c25-ace2-dc11f81f944d,515.77,0
112,a55baa4b-54e0-4e55-9627-dea3935857da,Megan Turner,213150723817611,Medina-Davis,2025-07-15 16:15:24,"East Lynn, OH",518d52cb-94a6-4a8e-ae57-dc5c7cb25446,217.38,0
113,33c80746-a7e9-4188-a3e5-91150f6d1cb5,Darin Schmidt,2715844351612810,Miller LLC,2025-07-04 02:14:27,"Tokyo, JP",b8c89906-7c6f-436d-9669-bab8130495f4,3092.73,1
114,bb0b9d60-60aa-407e-a697-09aafcd3252e,Joshua Byrd,3578797607059604,Brown LLC,2025-07-05 11:01:46,"East Scott, TN",0270f34f-e6fe-4678-ab13-41d774ead9ee,220.95,0
115,285a30ee-5877-4848-bec6-94a6c845aacd,Dr. Michelle Thomas DDS,3529589260446222,Vega PLC,2025-07-27 21:36:34,"Solisstad, IL",853ce784-4858-42d3-8856-1a31a5e9ff80,377.14,0
116,d716a3c8-1b51-4325-8226-4f8bccec631c,Taylor Bates,502071745751,Soto-Porter,2025-07-25 16:59:30,"Port Stephen, NV",37525782-bac0-458d-bada-62e04330fb21,1088.36,0
117,8ac446c9-0015-4f6f-98ce-d33375c5dc57,Anthony Guzman,4395284878659,Bishop PLC,2025-07-11 20:47:57,"South Douglas, SC",27484299-c675-4318-833a-8845662683b3,67.92,0
118,fb394e3f-880f-4f64-9c8a-be664e5c7564,Michael Delgado,30115165402637,Petty-Ellis,2025-07-05 21:34:53,"Port Saraview, WY",3d0fee25-0a3b-460e-9f6c-96a041a39de4,10.87,0
119,3fce1f7b-4f0f-4b9b-b6d6-ed8b8579af43,Jessica Jenkins,2433136718123792,"Ward, Smith and Garcia",2025-07-27 06:21:56,"West Haleymouth, MP",c270b5b4-7755-45a0-ad50-36b732e105aa,351.19,0
120,ad2e5770-e4cc-424f-a528-0697e7e69f01,Eric Kelly,4797645473337302977,"Mays, Davis and Henry",2025-07-16 16:26:38,"West Amandabury, PW",241ce757-dc7c-4e6a-aefa-36c09548415b,698.45,0
121,d4692ff5-b00a-4a98-a31a-df728323bdfb,Christopher Green,4925299477927927,"Adams, Gonzales and Lopez",2025-07-20 14:18:48,"Justinport, PW",65766187-d31b-4c3f-98df-13900683b2a2,731.36,0
122,d3457440-43c5-4509-b8ad-6ef99696c5e3,Elizabeth Turner,563773850851,Davidson Group,2025-07-07 00:04:26,"West Robert, NC",f588ca74-06d4-4cc0-b04f-2f569e21a28b,1188.52,0
123,5d49f56c-a53e-4d06-a6ab-ab1ef44537e1,Betty Perry,3504809479480351,Abbott-Ortega,2025-07-11 11:48:10,"Port Andrewberg, MS",8bd9a21e-6781-4093-8ab5-dffee52c392d,761.87,0
